"Date","Season","Team","Spread","Team2"
1124,2008,"eastern illinois",10,"arkansas state"
1124,2008,"montana state",10.5,"california-santa barbara"
1124,2008,"portland state",-6,"uc davis"
1125,2008,"portland",5,"oregon state"
1125,2008,"arizona",13,"kansas"
1125,2008,"penn state",2.5,"central florida"
1125,2008,"rider",10,"kansas state"
1125,2008,"south carolina",1.5,"george mason"
1125,2008,"nc state",2.5,"villanova"
1125,2008,"tennessee-chattanooga",7.5,"south alabama"
1125,2008,"miami (oh)",4,"mississippi st"
1125,2008,"so illinois",-1,"usc"
1125,2008,"siena",-2.5,"cornell"
1125,2008,"eastern kentucky",31,"duke"
1125,2008,"rutgers",-5,"st. peter's"
1125,2008,"santa clara",-13,"sacramento state"
1125,2008,"miss valley st",20,"montana"
1125,2008,"air force",16,"washington state"
1126,2008,"temple",5,"akron"
1126,2008,"south florida",-5,"florida intl"
1126,2008,"wake forest",-2,"iowa"
1126,2008,"cal poly slo",10,"arizona state"
1126,2008,"long beach state",22.5,"washington"
1126,2008,"davidson",-4.5,"appalachian st"
1126,2008,"arkansas state",5.5,"murray state"
1127,2008,"northwestern",15,"virginia"
1127,2008,"georgia tech",11.5,"indiana"
1127,2008,"ball state",17.5,"st. joseph's"
1127,2008,"minnesota",7.5,"florida state"
1127,2008,"arkansas-little rock",-4,"rice"
1127,2008,"uab",-7,"la.-lafayette"
1127,2008,"troy",22,"mississippi"
1127,2008,"northern iowa",-1.5,"iowa state"
1127,2008,"colorado",-3,"denver"
1127,2008,"wisconsin",8,"duke"
1127,2008,"new mexico state",5,"utep"
1127,2008,"purdue",10,"clemson"
1127,2008,"unlv",2,"california-santa barbara"
1127,2008,"western carolina",3.5,"elon"
1127,2008,"bowling green",-1,"furman"
1127,2008,"canisius",8,"buffalo"
1127,2008,"austin peay",23.5,"memphis"
1127,2008,"eastern illinois",13,"wisc green bay"
1127,2008,"sacramento state",29.5,"stanford"
1128,2008,"detroit",2.5,"eastern michigan"
1128,2008,"marshall",6,"wright state"
1128,2008,"toledo",7,"nc wilmington"
1128,2008,"georgetown",-9,"old dominion"
1128,2008,"cs northridge",6.5,"cleveland state"
1128,2008,"illinois-chicago",5,"central mich.igan"
1128,2008,"st. joseph's",2,"richmond"
1128,2008,"saint louis",5.5,"kent state"
1128,2008,"northeastern",12.5,"rhode island"
1128,2008,"nc state",9,"michigan state"
1128,2008,"boston college",2.5,"michigan"
1128,2008,"massachusetts",7.5,"syracuse"
1128,2008,"dayton",6.5,"miami (oh)"
1128,2008,"seton hall",-7,"princeton"
1128,2008,"illinois",3,"maryland"
1128,2008,"florida atlantic",31,"kansas"
1128,2008,"missouri",4.5,"arkansas"
1128,2008,"tcu",8.5,"texas tech"
1128,2008,"western michigan",3.5,"valparaiso"
1128,2008,"bradley",-4,"loyola chicago"
1128,2008,"alabama",12.5,"texas a&m"
1128,2008,"cs fullerton",16,"arizona"
1128,2008,"north carolina",-3,"ohio state"
1128,2008,"san diego",7,"boise state"
1128,2008,"virginia tech",2,"penn state"
1128,2008,"san diego state",-11,"loyola marymount"
1128,2008,"california",4,"nevada"
1128,2008,"geastern washington",18.5,"ucla"
1128,2008,"fordham",-3.5,"manhattan"
1128,2008,"st. bonaventure",10.5,"niagara"
1128,2008,"james madison",2,"eastern kentucky"
1128,2008,"se missouri st",3.5,"louisiana tech"
1128,2008,"pepperdine",7,"northern arizona"
1128,2008,"utah",-4.5,"weber state"
